Sample in Buffer,Sample in Window,TRIGGER,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rstn,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_heartbeat[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_refcount[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reservation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_inflight[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_fill_pending[3:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_exp_generation[7:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_slot[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_phys[5:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_req,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_grant,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_reuse_refused,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_stale,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_payload_mm,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_evictable,kv_guard_bd_i/kv_lifecycle_guard_0_dbg_outstanding[1:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_ar_wait[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_rd_latency_max[15:0],kv_guard_bd_i/kv_lifecycle_guard_0_dbg_sticky[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
89,89,0,1,31f0,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
90,90,0,1,31f1,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
91,91,0,1,31f2,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
92,92,0,1,31f3,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
93,93,0,1,31f4,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
94,94,0,1,31f5,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
95,95,0,1,31f6,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
96,96,0,1,31f7,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
97,97,0,1,31f8,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
98,98,0,1,31f9,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
99,99,0,1,31fa,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
100,100,0,1,31fb,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
101,101,0,1,31fc,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
102,102,0,1,31fd,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
103,103,0,1,31fe,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
104,104,0,1,31ff,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
105,105,0,1,3200,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
106,106,0,1,3201,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
107,107,0,1,3202,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
108,108,0,1,3203,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
109,109,0,1,3204,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
110,110,0,1,3205,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
111,111,0,1,3206,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
112,112,0,1,3207,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
113,113,0,1,3208,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
114,114,0,1,3209,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
115,115,0,1,320a,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
116,116,0,1,320b,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
117,117,0,1,320c,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
118,118,0,1,320d,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
119,119,0,1,320e,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
120,120,0,1,320f,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
121,121,0,1,3210,00,00,01,0,01,00,05,09,0,0,0,0,0,0,0,0000,0000,0000,00
